year,regime,variant,rule,N,mean_return,median_return,win_rate,p_loss5,p_loss10,p_plus10,p_plus20,p_plus30,avg_holding_days,median_holding_days,early_exit_rate,winner10_retained,winner20_retained,winner30_retained,right_tail_capture,mean_trade_max_drawdown,false_exit_10d,recovery_above_peak_5d,recovery_above_peak_10d
2021,NORMAL,B_NORMAL_MOMENTUM,MA20_1D,6890.0,0.011853246797373273,-0.02703670755028029,0.3420899854862119,0.34107402031930334,0.13178519593613933,0.1613933236574746,0.08780841799709724,0.05065312046444122,12.95878084179971,14.0,0.7671988388969521,0.7566807313642757,0.7888446215139442,0.837772397094431,0.8018660465248365,-0.06120970471189094,0.3206583427922815,0.16818009837306092,0.2758229284903519
2022,NORMAL,B_NORMAL_MOMENTUM,MA20_1D,4943.0,-0.01085090143046923,-0.03252443253234752,0.2969856362532875,0.36172364960550274,0.09629779486142019,0.10095083957111066,0.038438195427877804,0.019421404005664576,11.969451749949423,12.0,0.8132712927372041,0.7024320457796852,0.7401574803149606,0.7196969696969697,0.730979483314262,-0.05559967008626008,0.2325870646766169,0.154726368159204,0.2380597014925373
2023,NORMAL,B_NORMAL_MOMENTUM,MA20_1D,5484.0,0.012736276461920637,-0.02405717964345697,0.3652443471918308,0.3039752005835157,0.06765134938001459,0.15098468271334792,0.0723924142961342,0.03975200583515682,13.480671043034281,14.0,0.7416119620714807,0.7660984848484849,0.8144329896907216,0.8410852713178295,0.7928138009827249,-0.04965236179126909,0.2495697074010327,0.15859355790508975,0.25571674452913695
2025,NORMAL,B_NORMAL_MOMENTUM,MA20_1D,6120.0,0.009648593131178652,-0.021349293600745976,0.35718954248366014,0.30016339869281045,0.09019607843137255,0.1392156862745098,0.07222222222222222,0.04150326797385621,12.712745098039216,13.0,0.8008169934640523,0.7450090744101633,0.8040293040293041,0.8724137931034482,0.8162011804090307,-0.049979764437737315,0.22321975107120995,0.13895123444195062,0.23076923076923078
2026,NORMAL,B_NORMAL_MOMENTUM,MA20_1D,3580.0,0.020774315088054798,-0.03723748768300114,0.3256983240223464,0.43100558659217875,0.1712290502793296,0.1818435754189944,0.11927374301675978,0.08435754189944134,12.103072625698324,12.0,0.7960893854748603,0.6388329979879276,0.6752,0.7330097087378641,0.7187195034823809,-0.0738005058857194,0.40385964912280703,0.18771929824561404,0.29929824561403506
2024,NORMAL,B_NORMAL_MOMENTUM,MA20_1D,5774.0,0.00027455276932582907,-0.03747126732673259,0.2897471423623138,0.4056113612746796,0.11534464842396952,0.1361274679598199,0.07343262902667129,0.04347073086248701,11.737097332871492,12.0,0.8084516799445791,0.6902173913043478,0.7562724014336918,0.8178807947019867,0.7631632512762139,-0.06139707291372256,0.27677806341045413,0.15059982862039417,0.2532133676092545
2025,LIMIT_UP,A1_ALL_LOCKED,MA20_2D,5955.0,0.03272873812362771,-0.004798,0.4827875734676742,0.31452560873215785,0.12560873215785054,0.19848866498740556,0.11066330814441645,0.07170445004198153,11.462132661628884,13.0,0.7501259445843829,0.571072319201995,0.6795005202913632,0.7681159420289855,0.7104333040440188,-0.0628512313145513,0.3288560555182449,0.37541974479516454,0.4398925453324379
2021,LIMIT_UP,A1_ALL_LOCKED,MA20_2D,5997.0,0.03268343139210268,-0.025777020979020935,0.4255461063865266,0.41537435384358845,0.2239453059863265,0.21877605469401368,0.13923628480907121,0.09154577288644322,13.635317658829415,16.0,0.7016841754210439,0.7319050376375217,0.7803030303030303,0.8168168168168168,0.8169502033109423,-0.07463407198846124,0.4028041825095057,0.17347908745247148,0.24096958174904942
2023,LIMIT_UP,A1_ALL_LOCKED,MA20_2D,3519.0,0.032835871112029597,-0.029434058230683156,0.408638817845979,0.4120488775220233,0.17845978971298665,0.22847399829497017,0.13554987212276215,0.08496732026143791,15.185564080704745,17.0,0.64563796533106,0.8520130576713819,0.8799249530956847,0.92,0.8826172392254942,-0.06358201441629784,0.3050176056338028,0.1034330985915493,0.17341549295774647
2024,LIMIT_UP,A1_ALL_LOCKED,MA20_2D,5040.0,0.02562981998327258,-0.03313667843814458,0.39107142857142857,0.42678571428571427,0.20317460317460317,0.20932539682539683,0.13035714285714287,0.08214285714285714,13.736706349206349,15.0,0.7154761904761905,0.8047244094488188,0.8643617021276596,0.8941684665226782,0.8714775041339261,-0.06944084708660957,0.3696616749861342,0.14559068219633944,0.21935662784248475
