regime,variant,rule,N,mean_return,median_return,win_rate,p_loss5,p_loss10,p_plus10,p_plus20,p_plus30,avg_holding_days,median_holding_days,early_exit_rate,winner10_retained,winner20_retained,winner30_retained,right_tail_capture,mean_trade_max_drawdown,false_exit_10d,recovery_above_peak_5d,recovery_above_peak_10d
NORMAL,B_NORMAL_MOMENTUM,MA20_2D,32791.0,0.008378187522025385,-0.03053329411764708,0.34701594949833797,0.37894544234698546,0.1389710591320789,0.16019639535238328,0.08404745204476838,0.04909883809581898,14.134213656186148,15.0,0.6954042267695404,0.8124509957660342,0.8534616578702267,0.8909795240730493,0.8536730265334774,-0.06628284547252546,0.2653159671972986,0.13257027584089812,0.21957637153006182
LIMIT_UP,A1_ALL_LOCKED,MA20_3D,28926.0,0.03608357013110283,-0.022039379310344807,0.4342805780266888,0.4053446726128742,0.2063541450598078,0.23210952084629746,0.14478323999170298,0.09462075641291572,14.683917582797482,17.0,0.6243172232593515,0.7869850746268656,0.8496732026143791,0.8932547478716437,0.8645289565482777,-0.07631837202726986,0.3566642671244255,0.17348690403676836,0.24718976687524227
LIMIT_UP,A2_HIST2_LOCKED,MA20_3D,9141.0,0.041811262179117806,-0.03288788764044939,0.42019472705393285,0.453123290668417,0.287714692046822,0.27480581993217373,0.18433431790832513,0.1263537906137184,15.634722678043978,18.0,0.609451919921234,0.8457319163524168,0.8845545598313126,0.9158730158730158,0.8974768612974098,-0.09487912102382444,0.4315203733620535,0.11613713875426315,0.1890145395799677
LIMIT_UP,A3_NEAR_LIMIT_LOCKED,MA20_3D,1750.0,0.0945428471186418,0.040062095631304,0.6525714285714286,0.20514285714285715,0.09085714285714286,0.2937142857142857,0.16342857142857142,0.11142857142857143,12.393714285714285,15.0,0.6508571428571429,0.6337662337662338,0.693069306930693,0.8151260504201681,0.7758838410998694,-0.043596753470956935,0.32396839332748023,0.4363476733977173,0.5346795434591747
NORMAL,B_NORMAL_MOMENTUM,MA20_3D,32791.0,0.009647364770994173,-0.03027570700636931,0.36449025647281263,0.39053398798450795,0.15705528956116008,0.17151047543533288,0.08956725930895673,0.05150803574151444,15.330670000914886,17.0,0.6158092159433991,0.8758036694370394,0.9105867742936976,0.9346983951300498,0.9041081903917251,-0.07154591675163112,0.2558807507552122,0.1106819194770465,0.19056108552468679
LIMIT_UP,A1_ALL_LOCKED,STOP_5,28926.0,0.038437589857761086,-0.04945012876427826,0.36468920694185164,0.49567862822374337,0.07802668879209015,0.23041554311000484,0.1391481711954643,0.08964253612666805,12.364758348890271,13.0,0.5773352693078891,0.7958208955223881,0.8220996732026143,0.8490504256712508,0.8322223682714074,-0.05726588169508927,0.38239520958083834,0.17065868263473055,0.2663473053892216
LIMIT_UP,A2_HIST2_LOCKED,STOP_5,9141.0,0.04080642366810938,-0.054093774647887366,0.3222842139809649,0.5363745760857674,0.11530467126134997,0.23367246471939612,0.16004813477737664,0.11289793239251723,11.364949130292091,10.0,0.6415053057652336,0.7322591703805279,0.7712177121771218,0.819047619047619,0.7943563970009219,-0.06400327018715364,0.4722032742155525,0.20310368349249658,0.3062755798090041
LIMIT_UP,A3_NEAR_LIMIT_LOCKED,STOP_5,1750.0,0.11623732676047725,0.062295569970807846,0.6285714285714286,0.27714285714285714,0.052571428571428575,0.408,0.21714285714285714,0.12971428571428573,16.08,20.0,0.31657142857142856,0.9272727272727272,0.9405940594059405,0.9537815126050421,0.9284115250348899,-0.03785741978356622,0.3935018050541516,0.14620938628158844,0.22563176895306858
NORMAL,B_NORMAL_MOMENTUM,STOP_5,32791.0,0.006980319758049378,-0.049483990338164224,0.3290232075874478,0.4951663566222439,0.061114330151565976,0.15199292488792657,0.07764325577140069,0.04415845811350676,13.00378152541856,15.0,0.5632643103290537,0.7815587266739846,0.7904377522508538,0.801328168234643,0.7913375911980881,-0.058103448215538846,0.297184623714131,0.1501353546291283,0.25002707092582566
LIMIT_UP,A1_ALL_LOCKED,STOP_7,28926.0,0.03962702232502031,-0.051362483530325825,0.4066929406070663,0.5031805296273248,0.13900988729862407,0.24967157574500448,0.14969231832953053,0.09538131784553688,14.178939362511235,20.0,0.4845122035538961,0.8623283582089553,0.8843954248366013,0.9034053700065487,0.8886154146711022,-0.06578158483490794,0.3765251516232608,0.128219764537995,0.21362825544059935
LIMIT_UP,A2_HIST2_LOCKED,STOP_7,9141.0,0.04107642256052262,-0.06661618181818177,0.3615578164314626,0.5686467563723882,0.19647740947379935,0.2566458811946177,0.17383218466250958,0.12055573788425775,13.001203369434416,15.0,0.5662400175035555,0.8042509427494001,0.8376383763837638,0.8746031746031746,0.8515612789330258,-0.07392744637277686,0.46928129829984544,0.16537867078825347,0.26023956723338487
LIMIT_UP,A3_NEAR_LIMIT_LOCKED,STOP_7,1750.0,0.11758079810093831,0.06764379973997245,0.6525714285714286,0.26914285714285713,0.07657142857142857,0.41714285714285715,0.22228571428571428,0.13257142857142856,17.097142857142856,20.0,0.25485714285714284,0.948051948051948,0.9628712871287128,0.9747899159663865,0.9465315695713172,-0.04194686204914902,0.38789237668161436,0.10986547085201794,0.1905829596412556
NORMAL,B_NORMAL_MOMENTUM,STOP_7,32791.0,0.0082017910628574,-0.043543387453874566,0.3705589948461468,0.482022506175475,0.11622091427525845,0.1688573084077948,0.08560275685401482,0.04864139550486414,15.032661400994176,20.0,0.4447866792717514,0.8682766190998902,0.8714684880471903,0.8826784726065302,0.8708406211664113,-0.06630242158681622,0.29729173808707576,0.10599931436407267,0.18765855330819334
